 strategy,interface,num_data_points,elapsed_time,record_count,engine,finished_at,
cond_sql_join,sql,90,1.644436,9,pyspark,2023-12-25T13:38:35.260778,
cond_fluent_join,fluent,90,0.953881,9,pyspark,2023-12-25T13:38:36.403091,
cond_sql_null,sql,90,0.716320,9,pyspark,2023-12-25T13:38:37.279755,
cond_fluent_null,fluent,90,0.473412,9,pyspark,2023-12-25T13:38:37.903674,
cond_fluent_zero,fluent,90,0.683454,9,pyspark,2023-12-25T13:38:38.761626,
cond_pandas,pandas,90,5.044028,9,pyspark,2023-12-25T13:38:43.957630,
cond_pandas_numba,pandas,90,10.905276,9,pyspark,2023-12-25T13:38:55.040958,
cond_sql_nested,sql,90,0.808743,9,pyspark,2023-12-25T13:38:56.016043,
cond_fluent_nested,fluent,90,0.834783,9,pyspark,2023-12-25T13:38:57.000024,
 strategy,interface,num_data_points,elapsed_time,record_count,engine,finished_at,
 strategy,interface,num_data_points,elapsed_time,record_count,engine,finished_at,
cond_sql_join,sql,90,1.523287,9,pyspark,2023-12-25T13:41:53.335345,
cond_fluent_join,fluent,90,0.935111,9,pyspark,2023-12-25T13:41:54.436060,
cond_sql_null,sql,90,0.805328,9,pyspark,2023-12-25T13:41:55.396579,
cond_fluent_null,fluent,90,0.444841,9,pyspark,2023-12-25T13:41:56.000501,
cond_fluent_zero,fluent,90,0.534728,9,pyspark,2023-12-25T13:41:56.686074,
cond_pandas,pandas,90,4.236911,9,pyspark,2023-12-25T13:42:01.086226,
cond_pandas_numba,pandas,90,10.658842,9,pyspark,2023-12-25T13:42:11.907648,
cond_sql_nested,sql,90,0.777160,9,pyspark,2023-12-25T13:42:12.844579,
cond_fluent_nested,fluent,90,0.811995,9,pyspark,2023-12-25T13:42:13.808581,
cond_fluent_window,fluent,90,1.074001,9,pyspark,2023-12-25T13:42:15.044579,
cond_rdd_grpmap,rdd,90,31.524479,9,pyspark,2023-12-25T13:42:46.725057,
cond_rdd_reduce,rdd,90,23.910311,9,pyspark,2023-12-25T13:43:10.804701,
cond_rdd_mappart,rdd,90,24.104466,9,pyspark,2023-12-25T13:43:35.078039,
 strategy,interface,num_data_points,elapsed_time,record_count,engine,finished_at,
cond_sql_join,sql,90,1.629973,9,pyspark,2023-12-25T13:59:49.222700,
cond_fluent_join,fluent,90,0.919623,9,pyspark,2023-12-25T13:59:50.303493,
cond_sql_null,sql,90,0.779971,9,pyspark,2023-12-25T13:59:51.253392,
cond_fluent_null,fluent,90,0.477946,9,pyspark,2023-12-25T13:59:51.882091,
cond_fluent_zero,fluent,90,0.628351,9,pyspark,2023-12-25T13:59:52.662308,
cond_pandas,pandas,90,4.384694,9,pyspark,2023-12-25T13:59:57.192637,
cond_pandas_numba,pandas,90,10.790169,9,pyspark,2023-12-25T14:00:08.138652,
cond_sql_nested,sql,90,0.797673,9,pyspark,2023-12-25T14:00:09.086938,
cond_fluent_nested,fluent,90,0.918164,9,pyspark,2023-12-25T14:00:10.166608,
cond_fluent_window,fluent,90,1.108876,9,pyspark,2023-12-25T14:00:11.428575,
